add_custno,add_add1,add_add2,add_add3,add_town,add_county,add_postcode,add_inv_contno,add_del_contno,add_debtor_code,add_siteno,add_sage_ref,add_phone,add_max_travel_hours,add_active_flag
"181","Endeavour Works","Dolphin Road","","SHOREHAM BY SEA","West Sussex","BN4 6PB","38","38","95592921","0","","01273 463311","-9.00","Y"
"1335","Unit A 5 Enterprise Estate","Crowhurst Road","Hollingbury","BRIGHTON","East Sussex","BN1 8AF","2693","2693","","0","TE035","01273 540033","-9.00","Y"
"1418","Bankside House","Henfield Road","Small Dole","HENFIELD","West Sussex","BN5 9XQ","2892","2892","","0","JT001","01273 492212","-9.00","Y"
"2165","South Barn","Crockham Park","Crockham Hill","EDENBRIDGE","Kent","TN8 6SR","4641","4641","","0","HA009","01732 782600","-9.00","Y"
"2198","60 Lansdowne Place","","","HOVE","East Sussex","BN3 1FG","4688","4688","","0","TS001","01273 719111","-9.00","Y"
"2529","16 St Johns Hill","","","SEVENOAKS","Kent","TN13 3NP","9145","9145","","0","GE010","01732 458222","-9.00","Y"
"2697","Hill House","Mutton Hall Hill","","HEATHFIELD","East Sussex","TN21 8NL","11185","11185","","0","HK001","01435 865599","-9.00","Y"
"2826","Twin Bridges Business Park","232 Selsdon Road","","CROYDON","Surrey","CR2 6PL","8599","8599","","0","SL001","0208 681 1414(Press0","-9.00","Y"
"2945","Enterprise House","Foundry Lane","","HORSHAM","West Sussex","RH13 5PX","11365","11365","","0","ER001","01403 221000","1.50","Y"
"3142","106 Hawley Lane","","","FARNBOROUGH","Hants","GU14 8JE","6042","6042","","0","TH050","01252 513366","-9.00","Y"
"3265","Beco Works","Cricket Lane","Off Kent House Lane","BECKENHAM","Kent","BR3 1LA","7862","7862","","0","PU005","0208 7784271","-9.00","Y"
"3300","Units 5 - 7","Tovil Green Business Park","Burial Ground Lane","MAIDSTONE","Kent","ME15 6TA","6616","6616","","0","FL006","01622 672099(Press4)","-9.00","Y"
"3803","Unit 5","Ravensquay Business Centre","Cray Avenue","ORPINGTON","Kent","BR5 4BQ","7215","7215","","0","PA034","01689 607607","-9.00","Y"
"3836","Unit 46","Fawkes Avenue","Dartford Trade Park","DARTFORD","Kent","DA1 1JQ","10260","10260","","0","SA013","01322 223233","-9.00","Y"
"3868","Eurolink Industrial Estate","Heard Way","","SITTINGBOURNE","Kent","ME10 3SA","7520","7520","","0","SW003","01795 477098","-9.00","Y"
"4230","Hawley Mill","Hawley Road","","DARTFORD","Kent","DA2 7SY","9816","9816","","0","EL013","01322 222211","-9.00","Y"
"4714","8 Caburn Enterprise Park","The Broyle","","RINGMER","East Sussex","BN8 5NP","8899","8899","","0","PY001","01273 813505","-9.00","Y"
"4798","Windmill House","Windmill Road","","ST LEONARDS ON SEA","East Sussex","TN38 9BY","9006","9006","","0","BO012","01424 434391 (Hold)","-9.00","Y"
"4843","Unit 11 Radley Court","Discovery Park","Priestly Way","CRAWLEY","West Sussex","RH10 9PD","9169","9169","","0","VI014","01293 510792","-9.00","Y"
"5143","Contracts House","202 North Cray Road","","SIDCUP","Kent","DA14 5EL","10082","10082","","0","D&001","020 8306 6100","1.50","Y"
"5194","Cavendish Avenue","","","EASTBOURNE","East Sussex","BN22 8EN","10434","10434","","0","SO020","01323 645067","-1.00","Y"
"5233","Brook House","Brooks Road","","LEWES","East Sussex","BN7 2BY","10489","10489","","0","DB001","01273 480251","-1.00","Y"
"5280","Merlin House","606 Purley Way","","CROYDON","Surrey","CR0 4RF","10578","10578","","0","ME013","0208 681 8782","-1.00","Y"
"5308","Unit B","Eldon Way","Paddock Wood","TONBRIDGE","Kent","TN12 6BE","11156","11156","","0","ER004","01892 836455","-1.00","Y"
"5333","Wrotham Road","Bourne Enterprise Centre","Borough Green","SEVENOAKS","Kent","TN15 8DG","10682","10682","","0","CL012","01732 885822","-1.00","Y"
"5359","Heriot House","88 - 90 Guildford Street","","CHERTSEY","Surrey","KT16 9AD","10789","10789","","0","ER005","01932 566633","-1.00","Y"
"5375","107 Bell Street","","","REIGATE","Surrey","RH2 7JB","10854","10854","","0","RA001","01737 221213","-1.00","Y"
"5395","1 Wannock Avenue","","","EASTBOURNE","East Sussex","BN20 9RS","10944","10944","","0","HE016","01323 488411","-1.00","Y"
"5440","Old Dairy","Swanborough Farm","Swanborough","LEWES","East Sussex","BN7 3PF","11055","11055","","0","AS009","01273 483119","-1.00","Y"
"5445","The Barn","27a South Street","East Hoathly","LEWES","East Sussex","BN8 6DS","12496","12496","","0","","01825 880600","1.50","Y"
"5448","42 Brading Road","","","BRIGHTON","East Sussex","BN2 3PD","11063","11063","","0","AJ003","01273 600089","-1.00","Y"
"5461","Bridge House","West Street","","RINGWOOD","Hampshire","BH24 1DY","11117","11117","","0","AR008","01425 478781","1.50","Y"
"5588","Unit 1, West Yoke Farm","Michaels Lane","Ash","SEVENOAKES","Kent","TN15 7EP","11479","11479","","0","AC002","01474 879858","-1.00","Y"
"5608","Unit 5","Leigh Green Industrial Estate","Appledore Road","TENTERDEN","Kent","TN30 7DE","11515","11515","","0","MA019","01580 763264","-1.00","Y"
"5627","Uni9t 3B, Valley Industries","Hadlow Road","","TONBRIDGE","Kent","TN11 0AH","11548","11548","","0","TE008","01732 852250","-1.00","Y"
"5749","West Lodge","167 Blendon Road","","BEXLEY","Kent","DA5 1BT","11748","11748","","0","TI001","0208 303 0033","-1.00","Y"
"5757","Regency House","33 - 49 Farwig Lane","","BROMLEY","Kent","BR1 3RE","11757","11757","","0","CR009","0208 464 5000","-1.00","Y"
"5764","Beechings Way","","","GILLINGHAM","Kent","ME8 6PS","11764","11764","","0","ME019","0845 223 0400","-1.00","Y"
"5807","Old Mill Road","Hollingbourne","","MAIDSTONE","Kent","ME17 1XD","11832","11832","","0","GL009","01622 880669","-1.00","Y"
"5810","Nimbus House","Liphook Way","2020 Business Park","MAIDSTONE","Kent","ME16 0FZ","11837","11837","","0","BA014","01622 620850","-1.00","Y"
"5826","12 Stirling Park","Laker Road","","ROCHESTER","Kent","ME1 3QR","11897","11897","","0","TH027","01634 668090","-1.00","Y"
"5832","Unit 7 Orbital One","Green Street","Green Road","DARTFORD","Kent","DA1 1QG","11903","11903","","0","LI003","01322 273966","-1.00","Y"
"5837","170A Oval Road","","","CROYDON","Surrey","CR0 6BN","11910","11910","","0","RA007","0208 680 1585","-1.00","Y"
"5837","Unit 3","The Chase Centre","Park Royal","LONDON","","NW10 6QD","11910","11910","","1","","0208 951 9820","1.50","Y"
"5841","59 Imperial Way","","","CROYDON","Surrey","CR0 4RR","11915","11915","","0","DM002","0208 688 4243","-1.00","Y"
"5849","Apex House","Edgington Way","","SIDCUP","Kent","DA14 5BH","11925","11925","","0","AP004","0208 300 2929","-1.00","Y"
"5858","Unit F, Acorn Industrial Park","Crayford Road","","DARTFORD","Kent","DA1 4FT","11934","11934","","0","FI018","01322 551010","-1.00","Y"
"5870","2 - 4 Vicarage Road","Blackwater","","CAMBERLEY","Surrey","GU17 9AX","11946","11946","","0","B&002","01276 705000","-1.00","Y"
"5917","Wellesley Parade","479 Godstone Road","","WHYTELEAFE","Surrey","CR3 0BL","12882","12882","","0","PR034","01883 625838(Press1)","-1.00","Y"
"5986","13 Gatwick Metro Centre","Balcombe Road","","HORLEY","Surrey","RH6 9GA","12110","12110","","0","MU007","01293 824022","-1.00","Y"
"5997","The Old Barn","Ranscombe Lane","","GLYNDE","East Sussex","BN8 6AA","12166","12166","","0","BL009","01273 858822","0.50","Y"
"6031","Suite S8 Waterside Centre","North Street","","LEWES","East Sussex","BN7 2PE","12601","12601","","0","RH006","01273 402900","-1.00","Y"
"6035","81 Underdown Road","","","SOUTHWICK","West Sussex","BN42 4HA","12619","12619","","0","A&001","01273 593494","-1.00","Y"
"6050","Nyewood Court","Brookers Road","","BILLINGSHURST","West Sussex","RH14 9RZ","12732","12732","","0","WT003","01403 785141","-1.00","Y"
"6083","Unit 17","Ghyll Industrial Estate","","HEATHFIELD","West Sussex","TN21 8AW","12925","12925","","0","CO038","01435 861490","-1.00","Y"
